batter,pitcher,batTeam,fldTeam,path,outcome,bb
805779,665795,OAK,MIA,0125,1B,G
571448,656731,STL,NYM,012,K,
641487,594798,SEA,TEX,0345,K,
656941,593958,PHI,ARI,01478,K,
621566,669160,ATL,LAD,0369ab,K,
656811,547179,BAL,KCR,01,HR,F
666160,657277,COL,SFG,0125,Out,G
641680,688138,TEX,SEA,03678,1B,G
592885,684007,MIL,CHC,0,Out,G
663656,642547,CHC,MIL,014,1B,L
543807,676440,TOR,CLE,0145,Out,L
605170,669060,HOU,CHW,0147,Out,P
668804,663568,PIT,SDP,03478b,BB,
621493,681857,LAA,DET,012,K,
668939,547179,BAL,KCR,01255,Out,G
621439,676979,MIN,BOS,01255558,Out,L
